path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a2\processed_wav\a27b2387d8.wav,११ गतेको सम्बोधनमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a2\processed_wav\a20338bd6d.wav,११ श्लोक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a2\processed_wav\a2d9bdc63b.wav,१३० मिटर अग्लो छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a2\processed_wav\a2705e742e.wav,१९२९ सम्मका पाँच
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a2\processed_wav\a2835246be.wav,१९५९मा कर्मचारी भविष्य
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a2\processed_wav\a23ab0bd74.wav,१९९९ को जुन सम्म
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a2\processed_wav\a2f1535fdf.wav,१९ मा बिना अक्सिजन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a2\processed_wav\a2fe81df85.wav,२०६१ वैशाखदेखि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a2\processed_wav\a2d56199fc.wav,३ देखि ४ लाइन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a2\processed_wav\a280a45505.wav,४० वर्षको उमेरमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a2\processed_wav\a292805480.wav,४ अप्रिल २०१२
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a2\processed_wav\a25e292565.wav,७२ खेलहरू हुुन्छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a2\processed_wav\a255605aa0.wav,८०० ग्राम चिनी राख्ने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a2\processed_wav\a28849033b.wav,८३ बलमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a2\processed_wav\a2f148657c.wav,९ को मुख्य
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a2\processed_wav\a2146642c2.wav,अगाडि आयो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a2\processed_wav\a271c30239.wav,अगाडि बढाउनका लागि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a2\processed_wav\a2760604c0.wav,अगाडि बढ्नुपर्ला
